,pmid,doi_from_pubmed,year,authors,abstract,reference_code,doi_from_Robert,reference_code_in_online_database
10,1873472,,1991,"Tewari Y B, Goldberg R N","High-pressure liquid chromatography and microcalorimetry have been used to study the thermodynamics of the hydrolysis reactions of a series of disaccharides. The enzymes used to bring about the hydrolyses were: beta-galactosidase for lactulose and 3-o-beta-D-galactopyranosyl-D-arabinose; beta-glucosidase for alpha-D-melibiose; beta-amylase for D-trehalose; isomaltase for palatinose; and alpha-glucosidase for D-turanose. The buffer used was sodium acetate (0.02-0.10 M and pH 4.44-5.65). For the following processes at 298.15 K: lactulose(aq) + H2O(liq) = D-galactose(aq) + D-fructose(aq), K0 = 128 +/- 10 and delta H0 = 2.21 +/- 0.10 kJ mol-1; alpha-D-melibiose(aq) + H2O(liq) = D-galactose(aq) + D-glucose(aq), K0 = 123 +/- 42 and delta H0 = -0.88 +/- 0.50 kJ mol-1; palatinose(aq) + H2O(liq) = D-glucose(aq) + D-fructose(aq), delta H0 = -4.44 +/- 1.1 kJ mol-1; D-trehalose(aq) + H2O(liq) = 2 D-glucose(aq), K0 = 119 +/- 10 and delta H0 = 4.73 +/- 0.41 kJ mol-1; D-turanose(aq) + H2O(liq) = D-glucose(aq) + D-fructose(aq), delta H0 = -2.68 +/- 0.75 kJ mol-1; and 3-o-beta-D-galactopyranosyl-D-arabinose(aq) + H2O(liq) = D-galactose(aq) + D- arabinose(aq),0H0 = 107 +/- 10 and delta H0 = 2.97 +/- 0.10 kJ mol-1.(ABSTRACT TRUNCATED AT 250 WORDS)",91TEW/GOL,10.1016/0301-4622(91)85029-p,91TEW/GOL_935
11,2140258,,1990,"Lunn J E, ap Rees T","The aim of this work was to use preparations from germinating seeds of Pisum sativum to determine the apparent equilibrium constant of the reaction catalysed by sucrose-phosphate synthase (EC 2.4.1.14) and to compare this with the mass-action ratio of the reaction in the seeds. The apparent equilibrium constant ranged from 5.3 at 0.25 mM-MgCl2, pH 7.0, to 62 at 10 mM-MgCl2, pH 7.5. The sucrose phosphate content of the seeds, 23 nmol/g fresh wt., was determined by separating sucrose phosphate from sucrose by ion-exchange chromatography and then measuring the sucrose released by alkaline phosphatase. Comparison of equilibrium constants and mass-action ratios in the cotyledons of 38 h-germinated seeds showed that the reactions catalysed by glucose-6-phosphate isomerase, phosphoglucomutase and UDP-glucose pyrophosphorylase are close to equilibrium, and those catalysed by sucrose-phosphate synthase and sucrose phosphatase are considerably displaced from equilibrium in vivo.",90LUN/APR,10.1042/bj2670739,90LUN/APR_431
12,2341161,,1990,"Sangwan R S, Singh R","Phosphohexose isomerase from amyloplasts of immature wheat endosperm was purified 133-fold. The enzyme had a molecular weight of 130 kDa and maximum activity at pH 8.6. It showed normal hyperbolic kinetics for both fructose-6-P and glucose-6-P with Km of 0.12 mM and 0.44 mM, respectively. pH had a great influence on Km for fructose-6-P. Using glucose-6-P as the substrate, the equilibrium was reached at 23% fructose-6-P and 77% glucose-6-P and an equilibrium constant of about 3.0. The delta F calculated from the apparent equilibrium constant was +742 cal.mol-1. The activation energy calculated from the Arrhenius plot was 7450 cal.mol-1. None of the sulphydryl reagents at 2.5 mM concentration inactivated the enzyme. The enzyme was competitively inhibited by 6-phosphogluconate, ribose-5-P and ribulose-5-P with Ki values of 0.18, 0.14, and 0.13 mM, respectively. The probable role of the enzyme in starch biosynthesis in amyloplasts is discussed.",90SAN/SIN,,90SAN/SIN_1363
13,2789134,,1989,"Schneider K H, Giffhorn F","A polyol dehydrogenase was detected in cell extracts of the facultative phototrophic bacterium Rhodobacter sphaeroides strain Si 4 grown on D-glucitol (sorbitol) as the sole carbon source. The enzyme was purified 150-fold to apparent homogeneity by steps involving fractionated (NH4)2SO4 precipitation, chromatography on Q-Sepharose and phenyl-Sepharose, and FPLC on Superose 12. The relative molecular mass (Mr) of the native polyol dehydrogenase was 47,200 as calculated from its Stokes' radius (rs = 2.76 nm) and sedimentation coefficient (s20, w = 4.15 S). SDS/PAGE resulted in one single band representing a polypeptide with a Mr of 52,200, indicating that the native protein is a monomer. The isoelectric point of the polyol dehydrogenase was determined to be pH 4.3. The enzyme was specific for NAD+ and oxidized both D-glucitol and D-mannitol to D-fructose, as well as D-arabinitol to D-ribulose. The pH optimum of substrate oxidation was pH 9.0 in 0.1 M Tris/HCl and that of substrate reduction was pH 6.5 in 0.1 M potassium phosphate. The reactions exhibited normal Michaelis-Menten kinetics allowing the estimation of KM values for NAD+ (0.18 mM) in the presence of D-glucitol, and for D-glucitol (31.8 mM), D-mannitol (0.29 mM) and D-arabinitol (1.8 mM), respectively. The KM value for D-fructose was 16.3 mM and that for NADH 0.02 mM. The equilibrium constants determined for the conversion of D-mannitol, D-glucitol and D-arabinitol were 4.5 nM, 0.58 nM and 80 pM, respectively. Based on the catalytic preference of the polyol dehydrogenase for D-mannitol, an enzymatic assay for D-mannitol was elaborated.",89SCH/GIF,10.1111/j.1432-1033.1989.tb14984.x,89SCH/GIF_68
14,2722882,,1989,"Goldberg R N, Tewari Y B, Ahluwalia J C","A thermodynamic investigation of the hydrolysis of sucrose to fructose and glucose has been performed using microcalorimetry and high-pressure liquid chromatography. The calorimetric measurements were carried out over the temperature range 298-316 K and in sodium acetate buffer (0.1 M, pH 5.65). Enthalpy and heat capacity changes were obtained for the hydrolysis of aqueous sucrose (process A): sucrose(aq) + H2O(liq) = glucose(aq) + fructose (aq). The determination of the equilibrium constant required the use of a thermochemical cycle calculation involving the following processes: (B) glucose 1-phosphate2-(aq) = glucose 6-phosphate2-(aq); (C) sucrose(aq) + HPO4(2-)(aq) = glucose 1-phosphate2-(aq) + fructose(aq); and (D) glucose 6-phosphate2-(aq) + H2O(liq) = glucose(aq) + HPO4(2-)(aq). The equilibrium constants determined at 298.15 K for processes B and C are 17.1 +/- 1.0 and 32.4 +/- 3.0, respectively. Equilibrium data for process D was obtained from the literature, and in conjunction with the data for processes B and C, used to calculate a value of the equilibrium constant for the hydrolysis of aqueous sucrose. Thus, for process A, delta G0 = -26.53 +/- 0.30 kJ mol-1, K0 = (4.44 +/- 0.54) x 10(4), delta H0 = -14.93 +/- 0.16 kJ mol-1, delta So = 38.9 +/- 1.2 J mol-1 K-1, and delta CoP = 57 +/- 14 J mol-1 K-1 at 298.15 K. Additional thermochemical cycles that bear upon the accuracy of these results are examined.",89GOL/TEW2,,89GOL/TEW2_943
15,2498341,,1989,"Goldberg R N, Tewari Y B","The thermodynamics of the hydrolysis of lactose to glucose and galactose have been investigated using both high pressure liquid chromatography and heat-conduction microcalorimetry. The reaction was carried out over the temperature range 282-316 K and in 0.1 M sodium acetate buffer at a pH of 5.65 using the enzyme beta-galactosidase to catalyze the reaction. For the process lactose(aq) + H2O(liq) = glucose(aq) + galactose(aq), delta G0 = -8.72 +/- 0.20 kJ.mol-1, K0 = 34 +/- 3, delta H0 = 0.44 +/- 0.11 kJ.mol-1, delta S0 = 30.7 +/- 0.8 J.mol-1.K-1, and delta Cop = 9 +/- 20 J.mol-1.K-1 at 298.15 K. The standard state is the hypothetical ideal solution of unit molality. Thermochemical cycle calculations using enthalpies of combustion and solution, entropies, solubilities, activity coefficients, and apparent molar heat capacities have also been performed. These calculations indicate large discrepancies which are attributable primarily to errors in literature data on the enthalpies of combustion and/or third law entropies of the crystalline forms of the substrates.",89GOL/TEW,,89GOL/TEW_932
16,2722769,,1989,"Romero P J, de Meis L","The observed equilibrium constants for hydrolysis (Kobs) of a phosphoester and a phosphoanhydride bond were measured under a variety of conditions likely to alter the interactions of reactants and products with water. These included increasing the pH of the medium from 5.0 to 10.0, increasing the MgCl2 concentration form 0 to 200 mM, and decreasing the water activity of the medium by adding either dimethyl sulfoxide (50%, v/v) or polyethylene glycol 6,000-8,000 (50%, w/v). The Kobs for phosphoesters such as phosphoserine, glucose phosphate, glycerol phosphate, and ethylene glycol phosphate varied little over this wide range of conditions, the extreme values of Kobs being 12 and 200 M. In contrast, the Kobs for the phosphoanhydride bond of pyrophosphate varied from a value greater than 20,000 to 0.1 M. In totally aqueous media at a pH between 7.0 and 8.0 and in the presence of 0.5-1.0 mM MgCl2, the energy of hydrolysis of pyrophosphate was 1.2-4.0 kcal/mol greater than that of phosphoserine. However, when the water activity was decreased by adding polyethylene glycol to the medium within the same pH and MgCl2 concentration range, the energy of hydrolysis of phosphoserine became 2.0-2.5 kcal/mol greater than that of pyrophosphate. The results suggest that for phosphoesters, the solvation energies of reactants and products, unlike the case of phosphoanhydride bonds, are not the major factors in determining the energy of hydrolysis.",89ROM/DEM,,89ROM/DEM_780
17,2543728,,1989,Ellington W R,"In vertebrate tissues, the only phosphagen is phosphocreatine (PC), and the corresponding phosphotransferase is creatine phosphokinase (CPK). Among invertebrates, a variety of phosphotransferase reactions are found in addition to CPK, including arginine phosphokinase (APK), glycocyamine phosphokinase (GPK), taurocyamine phosphokinase (TPK) and lombricine phosphokinase (LPK). Although there is some uncertainty about the exact value, the apparent equilibrium constant for the CPK reaction (K'cpk = [creatine][ATP]/[PC][ADP]), under physiological conditions similar to those of vertebrate muscle, ranges from 100 to 160. The corresponding K' value for the APK reaction is somewhat controversial, and K' values for the GPK. TPK and LPK reactions are not known. In this study, conventional and 31P-NMR methods were used to evaluate the equilibrium constants for the APK, GPK, TPK and LPK reactions relative to that of CPK. The corresponding K' values for the APK, GPK, TPK and LPK reactions, expressed as a percentage of K'cpk, are 13, 29, 29 and 32%, respectively. The exclusively invertebrate phosphagens exist as a cohort of thermodynamically more stable compounds. Thus, PC constitutes a thermodynamic (and functional) improvement, in that the CPK reaction is able to buffer ATP at much higher ATP/ADP ratios than are other phosphagens. However, possession of a phosphagen system with a lower K' value may be advantageous under certain specific physiological conditions such as intracellular acidosis.",89ELL,,89ELL_627
18,2492994,,1989,"Tewari Y B, Goldberg R N","The thermodynamics of the enzymatic hydrolysis of cellobiose, gentiobiose, isomaltose, and maltose have been studied using both high pressure liquid chromatography and microcalorimetry. The hydrolysis reactions were carried out in aqueous sodium acetate buffer at a pH of 5.65 and over the temperature range of 286 to 316 K using the enzymes beta-glucosidase, isomaltase, and maltase. The thermodynamic parameters obtained for the hydrolysis reactions, disaccharide(aq) + H2O(liq) = 2 glucose(aq), at 298.15 K are: K greater than or equal to 155, delta G0 less than or equal to -12.5 kJ mol-1, and delta H0 = -2.43 +/- 0.31 kJ mol-1 for cellobiose; K = 17.9 +/- 0.7, delta G0 = -7.15 +/- 0.10 kJ mol-1 and delta H0 = 2.26 +/- 0.48 kJ mol-1 for gentiobiose; K = 17.25 +/- 0.7, delta G0 = -7.06 +/- 0.10 kJ mol-1, and delta H0 = 5.86 +/- 0.54 kJ mol-1 for isomaltose; and K greater than or equal to 513, delta G0 less than or equal to -15.5 kJ mol-1, and delta H0 = -4.02 +/- 0.15 kJ mol-1 for maltose. The standard state is the hypothetical ideal solution of unit molality. Due to enzymatic inhibition by glucose, it was not possible to obtain reliable values for the equilibrium constants for the hydrolysis of either cellobiose or maltose. The entropy changes for the hydrolysis reactions are in the range 32 to 43 J mol-1 K-1; the heat capacity changes are approximately equal to zero J mol-1 K-1. Additional pathways for calculating thermodynamic parameters for these hydrolysis reactions are discussed.",89TEW/GOL,,89TEW/GOL_919
19,2848810,,1988,"Belunis C J, Bae-Lee M, Kelley M J, Carman G M","The membrane-associated phospholipid biosynthetic enzyme phosphatidylinositol kinase (ATP:phosphatidylinositol 4-phosphotransferase, EC 2.7.1.67) was purified 8,000-fold from Saccharomyces cerevisiae. The purification procedure included Triton X-100 solubilization of microsomal membranes, DE-52 chromatography, hydroxylapatite chromatography, octyl-Sepharose chromatography, and two consecutive Mono Q chromatographies. The procedure resulted in the isolation of a protein with a subunit molecular weight of 35,000 that was 96% of homogeneity as evidenced by sodium dodecyl sulfate-polyacrylamide gel electrophoresis. Phosphatidylinositol kinase activity was associated with the purified Mr 35,000 subunit. Maximum phosphatidylinositol kinase activity was dependent on magnesium ions and Triton X-100 at pH 8. The true Km values for phosphatidylinositol and MgATP were 70 microM and 0.3 mM, and the true Vmax was 4,750 nmol/min/mg. The turnover number for the enzyme was 166 min-1. Results of kinetic and isotopic exchange reactions indicated that phosphatidylinositol kinase catalyzed a sequential Bi Bi reaction mechanism. The enzyme bound to phosphatidylinositol prior to ATP and phosphatidylinositol 4-phosphate was the first product released in the reaction. The equilibrium constant for the reaction indicated that the reverse reaction was favored in vitro. The activation energy for the reaction was 31.5 kcal/mol, and the enzyme was thermally labile above 30 degrees C. Phosphatidylinositol kinase activity was inhibited by calcium ions and thioreactive agents. Various nucleotides including adenosine and S-adenosylhomocysteine did not affect phosphatidylinositol kinase activity.",88BEL/BAE,,88BEL/BAE_569
