,Enzyme:,Reaction:,Reference:,Reference ID:,PMID,DOI,T [K],pH,Keq,Km',Experimental conditions,Ionic strength [molal],Enthalpy [kJ/mol],solutes [mol/dm^3],Buffer:,-log[Mg+2],EC Value:,Method:,Ionic strength [mol/dm^3],solutes [molal]
34, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290, , ,313.15, , , , , ,64, , phosphate, ,5.3.1.1 & 5.3.1.1, calorimetry, , 
35, alkaline phosphatase, phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797, , ,293.15, , , , , ,-31.0, , phosphate, ,3.1.3.1, calorimetry, , 
36, alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798, , ,293.15, , , , , ,-44.8, , phosphate, ,3.1.3.1, calorimetry, , 
37, alkaline phosphatase, (R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802, , ,293.15, , , , , ,-34.5, , phosphate, ,3.1.3.1, calorimetry, , 
38, alkaline phosphatase, phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805, , ,293.15, , , , , ,-35.4, , phosphate, ,3.1.3.1, calorimetry, , 
39, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,273.15,7,0.00014, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
40, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,273.15,7,0.000071, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
41, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,273.15,7,0.00032, ,   +  none, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
42, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.0014, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
43, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.0011, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
44, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00064, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
45, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00051, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
46, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00031, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
47, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00035, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
48, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00037, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
49, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00029, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
50, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00035, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
51, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00035, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
52, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00055, ,   +  Na2SO4, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
53, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.0011, ,   +  NaCl, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
54, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00075, ,   +  NaCl, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
55, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.00047, ,   +  NaCl, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
56, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,293.15,7,0.0015, ,   +  none, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
57, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,313.15,7,0.0056, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
58, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,313.15,7,0.0025, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
59, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,313.15,7,0.0020, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
60, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,313.15,7,0.0014, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
61, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,313.15,7,0.0064, ,   +  none, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
62, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,333.15,7,0.015, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
63, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,333.15,7,0.0082, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
64, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,333.15,7,0.0056, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
65, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,333.15,7,0.0046, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
66, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,333.15,7,0.0012, ,   +  MgCl2, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
67, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101, , ,333.15,7,0.019, ,   +  none, , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
68, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,273.15,7,0.00014, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
69, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,273.15,7,0.000071, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
70, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,273.15,7,0.00032, ,   +  none, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
71, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.0014, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
72, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.0011, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
73, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00064, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
74, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00051, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
75, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00031, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
76, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00035, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
77, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00037, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
78, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00029, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
79, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00035, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
80, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00035, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
81, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00055, ,   +  Na2SO4, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
82, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.0011, ,   +  NaCl, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
83, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00075, ,   +  NaCl, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
84, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.00047, ,   +  NaCl, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
85, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,293.15,7,0.0015, ,   +  none, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
86, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,313.15,7,0.0056, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
87, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,313.15,7,0.0025, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
88, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289, , ,313.15,7,0.0020, ,   +  MgCl2, , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
